steering,throttle,brake,speed
-0.2,0.476385,0.0,9.871975
0.1398929,0.0,0.0,7.175953
0.2,0.0,0.0,21.88136
0.2,0.6219692,0.0,8.730257
-0.2,0.0,0.0,11.96403
0.2,0.0,0.0,7.611709
0.2,0.0,0.0,10.58418
0.2,0.238026,0.0,6.965507
-0.2,0.9393638,0.0,9.236741
-0.2,0.459811,0.0,30.05938
-0.2,0.1476688,0.0,5.927987
-0.25188465,0.0,0.0,8.155331
-0.325368,0.0,0.0,9.109657
-0.2,0.2219371,0.0,8.817868
0.2,0.0,0.0,13.6525
-0.2,0.0,0.0,14.13709
0.2,0.0,0.0,12.66406
-0.174153,0.0,0.0,10.1177
-0.20494599999999996,0.0,0.0,10.39371
0.2,0.0,0.0,11.93105
-0.6885472,0.0,0.0,8.022083
-0.361089,0.0,0.0,8.955839
-0.6677930000000001,0.0,0.0,6.86639
0.2,0.0,0.0,12.76719
0.627479,0.0,0.0,10.50082
0.500813,0.5706607,0.0,9.421695
-0.07601988,0.0,0.0,10.07181
0.165027,0.0,0.0,15.67451
-0.2,0.0,0.0,9.161945
-0.2,0.470094,0.0,11.38942
-0.2,0.3131733,0.0,7.860235
-0.2,0.0,0.0,10.67823
0.2,0.1743239,0.0,8.327537
-0.0,0.0,0.0,9.499328
-0.2,0.0,0.0,15.87052
0.2,0.0,0.0,7.738679
0.2,0.0,0.0,5.997533
0.2,0.0,0.0,9.865018
-0.3150512,0.0,0.0,16.45416
-0.2,0.5485439,0.0,7.080802
0.2,0.1457341,0.0,7.717345
-0.0,0.0,0.0,7.373521
-0.10400303000000001,0.0,0.0,10.21533
0.18413277,0.0,0.0,11.29791
0.0,0.4743508,0.0,9.194099
0.2,0.0,0.0,6.476806
-0.2,1.0,0.0,22.09551
-0.50034,0.0,0.0,8.289841
-0.27040083000000004,0.2398084,0.0,9.166512
-0.0,0.0,0.0,12.0079
-0.2,0.0,0.0,9.044394
0.2,0.0,0.0,12.83604
-0.2,0.238026,0.0,6.965507
-0.2,0.748764,0.0,10.30252
0.07824560000000001,0.0,0.0,11.33016
-0.2,0.0,0.0,8.034859
-0.1590779,0.0,0.0,6.320359
0.45698320000000003,0.0,0.0,14.83928
0.2,0.38106,0.0,14.39734
-0.2539834,0.0,0.0,13.07539
0.2,0.2678729,0.0,7.620426
-0.6992571000000001,0.0,0.0,11.07497
-0.2,0.01497602,0.0,8.779571
0.2,0.0,0.0,21.60324
-0.24873788000000002,0.0,0.0,10.27563
0.456537,0.0,0.0,15.61152
-0.2,0.0,0.0,8.024478
-0.4825863,0.0,0.0,6.786887
-0.2,0.1526492,0.0,11.70754
-0.2,0.0,0.0,17.21091
0.2,0.0,0.0,8.124124
0.6329747,0.0,0.0,7.810975
-0.6227322,0.0,0.0,11.16287
0.3806421,0.0,0.0,12.48454
0.10218425,0.2008231,0.0,10.75745
0.2,0.0,0.0,17.41212
-0.2,0.0,0.0,7.394802
0.2,0.0865978,0.0,8.584347
-0.2,0.2557139,0.0,10.75897
-0.2,0.0,0.0,7.354783
-0.2,0.1547427,0.0,14.9371
0.2,0.0,1.0,3.727046
0.5102597,0.0,0.0,10.70947
0.2,0.0,0.1837528,9.688593
0.501567,1.0,0.0,3.714527
0.11723882000000001,0.0,0.0,10.03654
0.5074759,0.0,0.0,17.03027
-0.2,0.8462942,0.0,13.06984
-0.6994935,0.0,0.0,10.36005
0.2,0.220209,0.0,13.8702
0.2,0.2058542,0.0,15.1476
-0.2,0.246603,0.0,7.047416
-0.333644,0.0,0.0,8.882863
-0.0,0.0,0.0,12.63489
0.2,0.3137248,0.0,9.765277
0.2,0.0,0.0,8.024971
0.2,0.3498749,0.0,10.98277
-0.6021021,0.0,0.0,12.52928
-0.2,0.0,0.0,11.66704
-0.23242075,0.0,0.0,24.90604
0.4895189,0.0,0.0,7.875169
0.0,0.4445579,0.0,12.51405
0.1112098,0.0,0.0,7.490743
0.2651809,0.0,0.0,6.771779
0.2,0.0,0.0,27.95481
-0.2,0.0,0.0,13.27971
-0.0,0.0,0.0,8.101293
-0.2,0.1225201,0.0,9.996202
0.481613,0.0,0.0,6.701705
0.0,0.0,0.0,11.46924
0.207337809,0.0,0.0,9.070539
0.2,0.0,0.1837528,9.688593
-0.2,0.0,0.0,17.63802
-0.2,0.09105885,0.0,15.88161
0.09075557,0.0,0.0,7.731087
0.34785900000000003,0.0,0.0,7.948399
-0.2,0.0,0.0,14.1844
0.2,0.0,0.0,10.50131
-0.2,0.3345691,0.0,13.8446
1.0686591,0.0,0.0,8.328809
0.3488957,0.0,0.0,10.78665
0.2,0.0,0.0,10.0457
-0.2,0.0,0.0,10.43518
0.2,0.0,0.0,28.85254
0.2,0.0,0.0,11.03286
-0.2,0.0,0.0,5.977165
0.2,0.0,0.0,16.33589
-0.2,0.0,0.0,9.882649
-0.2,0.0,0.0,9.474785
-0.0,0.0,0.0,17.63802
-0.2,0.0,0.0,9.917629
-0.2,0.8949813,0.0,15.58366
-0.145134,0.0,0.0,8.465508
0.38517680000000004,0.0,0.0,6.150627
0.2,0.0,0.0,11.06566
0.2,0.0,0.0,7.268317
-0.2,0.0,0.0,14.30066
